"^([^ ]+) +FTP +Server \(Revision \S+ Version wuftpd-([^\(]+)\(PHNE_\d+\) [^\)]+\) ready.?$" ::DELIM::  "
"^(\S+)(?: \S+)? FTP Server \((?:Revision [\d\.]+ )?Version wu(?:ftpd)?-([\d\.]+).*\) ready.?$" ::DELIM::  "WU-FTPD on various OS"
"^(\S+)\s+FTP Server \(Version:\s+Mac OS X Server\s+([\d\.]+).*\) ready\.?" flags="REG_ICASE,REG_MULTILINE" ::DELIM::  "FTPD on Mac OS X Server with a version"
"^(\S+)\s+FTP Server \(Version:\s+Mac OS X Server\) ready\.?" flags="REG_ICASE,REG_MULTILINE" ::DELIM::  "FTPD on Mac OS X Server without a version"
"^(\S+)\s+FTP Server \(tnftpd (.*)\) ready\.?$" ::DELIM::  "Simple tnftpd banner with a version"
"^(\S+) FTP Server \(SunOS 5.(1[1-9])\) ready\.?$" ::DELIM::  "SunOS/Solaris"
"^(\S+) FTP Server \(SunOS 5.([789]|10)\) ready\.?$" ::DELIM::  "SunOS/Solaris 5.7-5.10"
"^(\S+) FTP Server \(SunOS 5.6\) ready\." ::DELIM::  "SunOS 5.6 (Solaris 2.6)"
"^ProFTPD (\d+\.[^\s]+) Server \(Debian\) \[(.+)\]$" ::DELIM::  "ProFTPD on Debian Linux"
"^ProFTPD (\d+\.[^\s]+) Server \(Linksys(W.+)\) \[(.+)\]$" ::DELIM::  "ProFTPD on a Linksys Wireless Access Point/Router"
"^ProFTPD (\d+\.[^\s]+) Server \(Linksys(.*)\) \[(.+)\]$" ::DELIM::  "ProFTPD on a wired Linksys device"
"^ProFTPD (\d+\.[^\s]+) Server \((.*)\) \[(.+)\]$" ::DELIM::  "ProFTPD with version info but no obvious OS info"
"^ProFTPD (\d+\.[^\s]+) Server ready\.$" ::DELIM::  "ProFTPD with only version info"
"^ProFTPD FTP Server ready\.$" ::DELIM::  "ProFTPD with no version info"
"^ProFTPD Server$" ::DELIM::  "ProFTPD with no version info, short form"
"^(?:\d{4}\-\d\d\-\d\d \d\d:\d\d:\d\d,\d\d\d )?(\S+) proftpd\[\d+\]: error: no valid servers configured" ::DELIM::  "ProFTPD no valid servers configured"
"^ProFTPD (\d+\.[^\s]+) Server \((.*)\) \[[[a-f\d].:\]]*$" ::DELIM::  "ProFTPD with version info - truncated"
"^=\(&lt;\*&gt;\)=-\.:\. \(\( Welcome to Pure-FTPd ([\d.]+) \)\) \.:\.-=\(&lt;\*&gt;\)=-" ::DELIM::  "Pure-FTPd versions &lt;= 1.0.13 (at least as far back as 1.0.11)"
"^-{9,10} Welcome to Pure-FTPd (.*)-{9,10}" ::DELIM::  "Pure-FTPd versions &gt;= 1.0.14
"^=\(.\*.\)=-\.:\. \(\( Welcome to PureFTPd (\d+\..+) \)\) \.:\.-=\(.\*.\)=-" ::DELIM::  "Older Pure-FTPd versions"
"^Serv-U FTP[ -]Server v(\d+\.\S+)(?: for WinSock)? ready\.*$" ::DELIM::  "Serv-U (only runs on Windows)"
"^zFTPServer v?(\S+), .*ready\.$" ::DELIM::  "zftpserver (only runs on Windows)"
"^\(vsFTPd (\d+\..+)\)(?: (.+))?$" ::DELIM::  "vsFTPd (Very Secure FTP Daemon)"
"^ready, dude \(vsFTPd (\d+\..+): beat me, break me\)$" ::DELIM::  "vsFTPd (Very Secure FTP Daemon)"
"^vsFTPd ([\d.]+\+ \(ext\.3\)) ready\.\.\.$" ::DELIM::  "vsFTPd (Very Secure FTP Daemon) extended build (vsftpd.devnet.ru)"
"^OOPS: .*vsftp.*$" ::DELIM::  "vsFTPd (Very Secure FTP Daemon) error message"
